file_path,transcript,WER
kathbath/hindi/test/audio/1202/844424932919645-1202-f.wav,सुधीर मिश्रा की यह फिल्म लेखक शरद चंद्र चटोपाध्या के उपन्यास देवीदास पर आधारित होगी,0.26666666666666666
kathbath/hindi/test/audio/267/844424932410060-267-f.wav,खोज कम मांग के लिए इंजन में वेबसाइट पदोन्नति,0.0
kathbath/hindi/test/audio/564/844424930954560-564-f.wav,ट्रेन लक्ष्मीबाई नगर भी नहीं पहुंचती कि लोगों का बतियाना बंद हो जाता है,0.07142857142857142
kathbath/hindi/test/audio/153/844424930627604-153-f.wav,नई पॉलिसी के तहत एक्स्ट्रा चार्ज देकर ज्यादा एफआईआर भी लिया जा सकता है,0.14285714285714285
kathbath/hindi/test/audio/564/844424930966728-564-f.wav,उन्होंने वन मुख्यालय से प्रस्ताव पर अनुमति प्रदान करने का आग्रह किया है,0.0
kathbath/hindi/test/audio/267/844424932410065-267-f.wav,उषा ने ऑटो चालक को बताया कि उसे भिंड जाना है,0.0
kathbath/hindi/test/audio/221/844424932574148-221-f.wav,देश की जनता अपने आप अन्ना की टीम के सवालों का जवाब चुनावों में देगी,0.0
kathbath/hindi/test/audio/153/844424930759178-153-f.wav,शासन द्वारा मंजूरी मिलते ही ओपन जेल का निर्माण कार्य शुरू हो गया,0.0
kathbath/hindi/test/audio/1190/844424930929569-1190-f.wav,इसके अलावा गुजरात के अहमदाबाद में आज जगरनाथ यात्रा निकाली जाएगी,0.09090909090909091
kathbath/hindi/test/audio/564/844424930918882-564-f.wav,अभी यह साफ नहीं है कि किरण नई पार्टी बनाएंगे अथवा नहीं,0.0
kathbath/hindi/test/audio/564/844424930966776-564-f.wav,लोग रो रहे थे तो कोई उन्हें ढांढस बँगा रहा था,0.18181818181818182
kathbath/hindi/test/audio/574/844424930898388-574-f.wav,स्वतंत्रता सेनानी अमरनाथ डोगरा को पुलिस के जवानों ने उन्हें अंतिम विदाई दी,0.0
kathbath/hindi/test/audio/1202/844424932919598-1202-f.wav,उन फोटोज में कपिल एक प्यारी सी बच्ची को थामे हुए थे,0.0
kathbath/hindi/test/audio/574/844424930927709-574-f.wav,होली के आठ दिन बाद होती है शीतला माता की पूजा,0.0
kathbath/hindi/test/audio/160/844424930570555-160-f.wav,आस्था के केंद्र इस मंदिर में लोग प्रतिदिन पूजा करते हैं,0.0
kathbath/hindi/test/audio/160/844424930570589-160-f.wav,धोनी ने मैदान पर आते ही आक्रामक अंदाज में बल्लेबाजी करनी शुरू कर दी,0.0
kathbath/hindi/test/audio/564/844424930918888-564-f.wav,जिसके लिए उनका देहांत के बाद तर्पण किया जाता है,0.1
kathbath/hindi/test/audio/620/844424930560836-620-f.wav,सूर्योदय से पहले उठकर स्नान से निवृत्त होकर पीले रंग के वस्त्र पहनने चाहिए,0.0
kathbath/hindi/test/audio/497/844424930547215-497-f.wav,परिणामस्वरूप लोगों को मतदान के प्रति जागरूक करना एक सामाजिक कार्य है,0.0
kathbath/hindi/test/audio/153/844424930708001-153-f.wav,चोर स्टेज से ले उड़ा नोटों से भरा हुआ बैग,0.0
kathbath/hindi/test/audio/574/844424930927688-574-f.wav,दूसरी ओर गर्म मौसम के चलते पेयजल पर भी काफी असर पड़ता है,0.0
kathbath/hindi/test/audio/221/844424932574081-221-f.wav,बस वह दो विकल्पों पर अब भी ताला लगाए हुए हैं,0.09090909090909091
kathbath/hindi/test/audio/153/844424930627659-153-f.wav,उन्होंने श्री चौहान को ताइवान आने का आमंत्रण दिया,0.1111111111111111
kathbath/hindi/test/audio/153/844424930627606-153-f.wav,इन भाषाई विभाजनों को चुनौती भी नहीं दी जा सकती है,0.0
kathbath/hindi/test/audio/574/844424930927681-574-f.wav,इसलिए भी कि इसके सिवाय मैं कुछ और कर नहीं सकता,0.0
kathbath/hindi/test/audio/1202/844424932919565-1202-f.wav,विभाग अनुदेशकों के भर्ती एवं पदोन्नति नियम बनाने में भी असफल रहा है,0.0
kathbath/hindi/test/audio/497/844424930325529-497-f.wav,धर्मशाला में पुरुष खिलाड़ियों के लिए अकॅमोंडेशन की आवश्यकता है,0.2
kathbath/hindi/test/audio/620/844424930637326-620-f.wav,इसके बाद ही चार वर्षीय बीएससी फॉरेस्ट्री का कोर्स किया जा सकता है,0.07692307692307693
kathbath/hindi/test/audio/1202/844424932919589-1202-f.wav,निगम कार्यालय में कांग्रेसियों द्वारा किए गए उत्पाद के बाद का दृश्य,0.08333333333333333
kathbath/hindi/test/audio/564/844424930966750-564-f.wav,उनका कहना है कि जीत के बाद उनकी प्राथमिकता क्षेत्र का समग्र विकास करवाना है,0.0
kathbath/hindi/test/audio/1202/844424932919556-1202-f.wav,वहां से मंजूरी के बाद इसे लागू कर दिया जाएगा,0.0
kathbath/hindi/test/audio/1190/844424930929612-1190-f.wav,यदि आपके पास समर्पित कसरत कक्ष नहीं है तो एक फोल्डिंग ट्रेडमिल बहुत अच्छा है,0.0
kathbath/hindi/test/audio/497/844424930547250-497-f.wav,आईपीएल के अधिकारी ट्विटर अकाउंट पर इसकी जानकारी दी गई है,0.18181818181818182
kathbath/hindi/test/audio/1190/844424930929538-1190-f.wav,डोकलाम के समय सभी नार्म को घता बताकर वह चीनी राजदूत से मिले,0.15384615384615385
kathbath/hindi/test/audio/1190/844424930929603-1190-f.wav,बच्चों में स्क्रब टायफस के लक्षण दिखने के बाद डॉक्टर अलर्ट पर हैं,0.07692307692307693
kathbath/hindi/test/audio/564/844424930966742-564-f.wav,एनफील्ड के साथ मेरी कुछ और भी यादें जुड़ी हुई हैं,0.0
kathbath/hindi/test/audio/564/844424930966772-564-f.wav,क्योंकि फेस वॉश आपकी त्वचा का तेल तो गहराई से साफ कर देता है,0.15384615384615385
kathbath/hindi/test/audio/564/844424930966741-564-f.wav,सुषमा ने विदेश मंत्रालय तक लोगों की पहुंच को बनाया था आसान,0.08333333333333333
kathbath/hindi/test/audio/267/844424932410149-267-f.wav,फिल्टर के गंदे होने पर इंजन को पर्याप्त हवा नहीं मिलती है,0.0
kathbath/hindi/test/audio/574/844424930927636-574-f.wav,कई सारे परिवार आज रात अपने प्रियजनों के लिए शोक मनाएंगे,0.0
kathbath/hindi/test/audio/564/844424930954539-564-f.wav,प्रभाव केवल लंबे समय तक और व्यवस्थित पाठ्यक्रम उपचार के साथ ध्यान देने योग्य होगा,0.0
kathbath/hindi/test/audio/574/844424930898447-574-f.wav,इस शो में वह कई हस्तियों का इंटरव्यू लेते हैं,0.0
kathbath/hindi/test/audio/1190/844424930929579-1190-f.wav,फिल्म के निर्देशक शमास सिद्दीकी जो कि लीड एक्टर नवाजुद्दीन सिद्दीकी के भाई हैं,0.0
kathbath/hindi/test/audio/564/844424930966825-564-f.wav,माघ पूर्णिमा को सुग्मोहर्त में इस डंडे की स्थापना की जाती है,0.23076923076923078
kathbath/hindi/test/audio/620/844424930560865-620-f.wav,हो सकता है कि उसे भी किसी ने धक्का दिया हो,0.0
kathbath/hindi/test/audio/564/844424930918913-564-f.wav,परिणाम तक पहुंचाने के लिए इसे प्रेतशक्ति से संपन्न किया जाता है,0.15384615384615385
kathbath/hindi/test/audio/153/844424930759145-153-f.wav,जवानों की जान बचाने के लिए इंडियन आर्मी ने किया कश्मीरी युवाओं का शुक्रिया,0.23076923076923078
kathbath/hindi/test/audio/564/844424930918924-564-f.wav,आज रलीलता का यह कार्यक्रम काफी देर तक चलता रहा,0.2222222222222222
kathbath/hindi/test/audio/1190/844424930929529-1190-f.wav,दक्षिणी सुमात्रा और जावा द्वीपों के बीच स्थित सुंडा द्वीप में यह ज्वालामुखी फटा है,0.0
kathbath/hindi/test/audio/160/844424930570514-160-f.wav,बताया जा रहा है कि टूरिस्ट की हत्या तेर मारकर की गई है,0.07692307692307693
kathbath/hindi/test/audio/564/844424930918861-564-f.wav,देवेंद्र फेडेनविश ने कहा कि इसके बाद मैं राजभवन जाऊंगा और अपना इस्तीफा दूंगा,0.07142857142857142
kathbath/hindi/test/audio/153/844424930707995-153-f.wav,ये सनसनीखेज घटना ओल्ड भोपाल के अशोका गार्डन थाना इलाके की है,0.0
